"name", "shares", "value_of_shares_in_thousands_usd", "date_recorded"
"Fisher Asset Management LLC", 11809500, 454784, "12/31/2016"
"State Street Corp", 10600829, 408238, "12/31/2016"
"Price T Rowe Associates Inc. MD", 10392844, 400228, "12/31/2016"
"Wells Fargo & Company MN", , 382885, "12/31/2016"
"Royal Bank of Canada", , 323096, "12/31/2016"
"Hotchkis & Wiley Capital Management LLC", 7807200, 300655, "12/31/2016"
"Bank of New York Mellon Corp", 6007263, 231338, "12/31/2016"
"Bank of America Corp DE", 5914704, 227775, "12/31/2016"
"Morgan Stanley", 4614293, 177697, "12/31/2016"
"Ameriprise Financial Inc.", 3921497, 150224, "12/31/2016"
"Federated Investors Inc. PA", 3741920, 144102, "12/31/2016"
"Goldman Sachs Group Inc.", , 127717, "12/31/2016"
"Brandes Investment Partners LP", 3149621, 121292, "12/31/2016"
"Renaissance Technologies LLC", 3085500, 118823, "12/31/2016"
"Two Sigma Investments LP", 2960534, 114010, "12/31/2016"
"Northern Trust Corp", 2960422, 114006, "12/31/2016"
"JFB Holdings Corp", 2623782, 113164, "09/30/2016"
"Raymond James & Associates", 2932630, 112936, "12/31/2016"
"NWQ Investment Management Company LLC", 2568013, 98894, "12/31/2016"
"Two Sigma Advisers LP", 2443742, 94109, "12/31/2016"
"Macquarie Group Ltd.", 2419978, 93193, "12/31/2016"
"Equity Investment Corp Acquisition Inc", 2329469, 89708, "12/31/2016"
"Schafer Cullen Capital Management Inc.", 2149156, 82764, "12/31/2016"
"UBS Group AG", 2072135, 79798, "12/31/2016"
"Miller Howard Investments Inc. NY", 2048380, 78883, "12/31/2016"
"Millennium Management LLC", 2001636, 77083, "12/31/2016"
"RE Advisers Corp", 1854000, 71398, "12/31/2016"
"Grantham Mayo Van Otterloo & Co. LLC", 1820174, 70095, "12/31/2016"
"Ariel Investments LLC", 1646146, 63393, "12/31/2016"
"D. E. Shaw & Co. Inc.", , 62698, "12/31/2016"
"Confluence Investment Management LLC", 1539843, 59299, "12/31/2016"
"Hamlin Capital Management LLC", 1471902, 56683, "12/31/2016"
"Dimensional Fund Advisors LP", 1451342, 55891, "12/31/2016"
"OLD Republic International Corp", 1320500, 50852, "12/31/2016"
"JPMorgan Chase & Co.", , 47613, "12/31/2016"
"Kornitzer Capital Management Inc. KS", 1217865, 46900, "12/31/2016"
"PNC Financial Services Group Inc.", 1163047, 44789, "12/31/2016"
"Osterweis Capital Management Inc.", 1124462, 43304, "12/31/2016"
"Primecap Management Co. CA", 1093985, 42129, "12/31/2016"
"Marshall Wace LLP", 1051489, 40493, "12/31/2016"
"Letko Brosseau & Associates Inc.", 1019198, 39249, "12/31/2016"
"Parametric Portfolio Associates LLC", 1008237, 38827, "12/31/2016"
"Jarislowsky Fraser Ltd", 923631, 35569, "12/31/2016"
"Stifel Financial Corp", 891343, 34374, "12/31/2016"
"Thornburg Investment Management Inc.", 869904, 33500, "12/31/2016"
"GW&K Investment Management LLC", 863647, 33259, "12/31/2016"
"Kahn Brothers Group Inc. DE", 833315, 32091, "12/31/2016"
"Adage Capital Partners GP L.L.C.", 800000, 30808, "12/31/2016"
"Mondrian Investment Partners LTD", 798806, 30762, "12/31/2016"
"Haverford Trust Co.", 675189, 26002, "12/31/2016"
"Silvercrest Asset Management Group LLC", 666804, 25679, "12/31/2016"
"Welch & Forbes LLC", 656360, 25277, "12/31/2016"
"Neuberger Berman Group LLC", 652724, 25136, "12/31/2016"
"Crawford Investment Counsel Inc.", 587608, 22629, "12/31/2016"
"Clearbridge Investments LLC", 575670, 22169, "12/31/2016"
"Anchor Capital Advisors LLC", 559430, 21544, "12/31/2016"
"Pioneer Investment Management Inc.", 545625, 21012, "12/31/2016"
"Susquehanna International Group LLP", , 19792, "12/31/2016"
"Janney Capital Management LLC", 505156, 19453, "12/31/2016"
"Chartwell Investment Partners LLC", 500041, 19257, "12/31/2016"
"Norges Bank", 498739, 19206, "12/31/2016"
"Willis Investment Counsel", 489000, 18831, "12/31/2016"
"Klingenstein Fields & Co. LLC", 482347, 18575, "12/31/2016"
"HighTower Advisors LLC", 455678, 17571, "12/31/2016"
"BlackRock Investment Management LLC", 445468, 17155, "12/31/2016"
"Citigroup Inc.", , 17102, "12/31/2016"
"Envestnet Asset Management Inc.", 443791, 17085, "12/31/2016"
"Deutsche Bank AG", 442177, 17023, "12/31/2016"
"CIBC World Markets Inc.", 437665, 16854, "12/31/2016"
"Ngam Advisors L.P.", 434307, 16725, "12/31/2016"
"Voloridge Investment Management LLC", 430272, 16570, "12/31/2016"
"Saturna Capital CORP", 412700, 15893, "12/31/2016"
"First Trust Advisors LP", 404350, 15572, "12/31/2016"
"State Treasurer State of Michigan", 404000, 15558, "12/31/2016"
"Chubb Ltd", 400000, 15404, "12/31/2016"
"US Bancorp DE", 398636, 15353, "12/31/2016"
"Aperio Group LLC", 359224, 13834, "12/31/2016"
"Tekla Capital Management LLC", 359000, 13825, "12/31/2016"
"Avalon Advisors LLC", 352556, 13577, "12/31/2016"
"Sio Capital Management LLC", , 13510, "12/31/2016"
"BB&T Securities LLC", 315545, 13491, "12/31/2016"
"Van ECK Associates Corp", 343820, 13241, "12/31/2016"
"Commonwealth Equity Services Inc", 340614, 13117, "12/31/2016"
"Nationwide Fund Advisors", 337088, 12981, "12/31/2016"
"Glenmede Trust Co. NA", 330592, 12730, "12/31/2016"
"Kayne Anderson Rudnick Investment Management LLC", 320155, 12329, "12/31/2016"
"LPL Financial LLC", 314650, 12215, "12/31/2016"
"LSV Asset Management", 314700, 12119, "12/31/2016"
"Nuveen Asset Management LLC", 299233, 11634, "12/31/2016"
"Paulson & CO. Inc.", 296000, 11399, "12/31/2016"
"Eaton Vance Management", 294705, 11349, "12/31/2016"
"Stephens Inc. AR", 293824, 11315, "12/31/2016"
"Suntrust Banks Inc.", 288473, 11107, "12/31/2016"
"Causeway Capital Management LLC", 294560, 11047, "12/31/2016"
"O Shaughnessy Asset Management LLC", 165339, 10582, "12/31/2016"
"United Capital Financial Advisers LLC", 254247, 9791, "12/31/2016"
"Janney Montgomery Scott LLC", 250773, 9657, "12/31/2016"
"Bailard Inc.", 500000, 9650, "12/31/2016"
"Barrow Hanley Mewhinney & Strauss LLC", 235200, 9058, "12/31/2016"
"BB&T Corp", 232671, 8960, "12/31/2016"
"M&T Bank Corp", , 8940, "12/31/2016"
"10 15 Associates Inc.", 223469, 8605, "12/31/2016"
"Waters Parkerson & CO. LLC", 221371, 8525, "12/31/2016"
"Franklin Resources Inc.", 220570, 8494, "12/31/2016"
"D.A. Davidson & CO.", 213179, 8204, "12/31/2016"
"Credit Suisse AG", 197979, 7625, "12/31/2016"
"Comerica Bank", 186154, 7300, "12/31/2016"
"Guggenheim Capital LLC", 187998, 7240, "12/31/2016"
"PVG Asset Management", 186553, 7184, "12/31/2016"
"Raymond James Financial Services Advisors Inc.", 181734, 6999, "12/31/2016"
"Assetmark Inc.", 177567, 6838, "12/31/2016"
"Oak Associates Ltd. OH", 177500, 6836, "12/31/2016"
"Advisors Asset Management Inc.", 174119, 6705, "12/31/2016"
"Financial Counselors Inc.", 174088, 6704, "12/31/2016"
"Hourglass Capital LLC", 171765, 6615, "12/31/2016"
"Ladenburg Thalmann Financial Services Inc.", 171454, 6609, "12/31/2016"
"Trust Co. of Virginia VA", 165882, 6388, "12/31/2016"
"Invesco Ltd.", 162724, 6267, "12/31/2016"
"Prospector Partners LLC", 161200, 6208, "12/31/2016"
"Sei Investments Co.", 160623, 6186, "12/31/2016"
"Aviance Capital Management LLC", 156823, 6039, "12/31/2016"
"United Services Automobile Association", 156600, 6031, "12/31/2016"
"GW Henssler & Associates Ltd.", 156536, 6028, "12/31/2016"
"Beacon Financial Group", 155488, 5987, "12/31/2016"
"Cohen Klingenstein LLC", 152730, 5882, "12/31/2016"
"Baird Financial Group Inc.", 152018, 5854, "12/31/2016"
"Diamond Hill Capital Management Inc.", 151307, 5827, "12/31/2016"
"Lincluden Management Ltd.", 134681, 5809, "09/30/2016"
"Wallace Capital Management Inc.", 149765, 5768, "12/31/2016"
"World Asset Management Inc", 149723, 5766, "12/31/2016"
"Bruderman Asset Management LLC", 141554, 5451, "12/31/2016"
"Northwestern Mutual Wealth Management Co.", 133432, 5138, "12/31/2016"
"Blair William & Co. IL", 133387, 5137, "12/31/2016"
"FDx Advisors Inc.", 131999, 5083, "12/31/2016"
"Carnegie Capital Asset Management LLC", 126295, 5017, "12/31/2016"
"People s United Financial Inc.", 130240, 5015, "12/31/2016"
"Raymond James Trust N.A.", 127865, 4924, "12/31/2016"
"OLD Mission Capital LLC", 127672, 4917, "12/31/2016"
"Farmers Trust Co.", 122352, 4712, "12/31/2016"
"John G Ullman & Associates Inc.", 121648, 4685, "12/31/2016"
"Keystone Financial Planning Inc.", 120705, 4648, "12/31/2016"
"Bank of Hawaii", 118840, 4577, "12/31/2016"
"Bank of Montreal Can", 117826, 4452, "12/31/2016"
"Sterneck Capital Management LLC", 114816, 4422, "12/31/2016"
"Tweedy Browne Co. LLC", 114437, 4407, "12/31/2016"
"Creative Planning", 111119, 4279, "12/31/2016"
"Guardian Capital Advisors LP", 105820, 4204, "12/31/2016"
"Cambridge Investment Research Advisors Inc.", 106283, 4093, "12/31/2016"
"Greylin Investment Mangement Inc.", 104390, 4020, "12/31/2016"
"Community Financial Services Group LLC", 103157, 3973, "12/31/2016"
"Keybank National Association OH", 102535, 3949, "12/31/2016"
"Brown Advisory Inc.", 100830, 3883, "12/31/2016"
"Charter Trust Co.", 99585, 3835, "12/31/2016"
"OppenheimerFunds Inc.", 99042, 3814, "12/31/2016"
"Fifth Third Bancorp", 97256, 3745, "12/31/2016"
"BNP Paribas Arbitrage SA", 96797, 3728, "12/31/2016"
"William Blair Investment Management LLC", 96730, 3725, "12/31/2016"
"Capstone Asset Management Co.", 96248, 3707, "12/31/2016"
"Oppenheimer & Co. Inc.", 95030, 3660, "12/31/2016"
"Dynamic Capital Management Ltd", 93982, 3619, "12/31/2016"
"ETRADE Capital Management LLC", 93286, 3592, "12/31/2016"
"TCW Group Inc.", 90756, 3495, "12/31/2016"
"Auxier Asset Management", 89247, 3437, "12/31/2016"
"Geode Capital Management LLC", 88287, 3399, "12/31/2016"
"Endurant Capital Management LP", 86400, 3327, "12/31/2016"
"Mycio Wealth Partners LLC", 86367, 3326, "12/31/2016"
"Woodley Farra Manion Portfolio Management Inc.", 80669, 3107, "12/31/2016"
"Jolley Asset Management LLC", 77789, 2996, "12/31/2016"
"Guardian Capital LP", 76746, 2955, "12/31/2016"
"Scotia Capital Inc.", 75977, 2930, "12/31/2016"
"Jacobs & Co. CA", 75823, 2919, "12/31/2016"
"CIBC Asset Management Inc", 75720, 2903, "12/31/2016"
"HBK Investments L P", 75200, 2896, "12/31/2016"
"BOKF NA", 75143, 2894, "12/31/2016"
"Fulton Bank N.A.", 74337, 2863, "12/31/2016"
"Zevin Asset Management LLC", 74320, 2862, "12/31/2016"
"Philadelphia Trust Co.", 72481, 2791, "12/31/2016"
"Azimuth Capital Management LLC", 72409, 2788, "12/31/2016"
"Group One Trading L.P.", , 2768, "12/31/2016"
"Hilltop Holdings Inc.", 71669, 2760, "12/31/2016"
"Smith Salley & Associates", 71214, 2741, "12/31/2016"
"Advisor Group Inc.", 70556, 2706, "12/31/2016"
"Highland Capital Management LLC", 69729, 2685, "12/31/2016"
"Freestone Capital Holdings LLC", 69681, 2683, "12/31/2016"
"Foresters Investment Management Company Inc.", 69150, 2652, "12/31/2016"
"Marathon Capital Management", 68515, 2638, "12/31/2016"
"AMG National Trust Bank", 68096, 2622, "12/31/2016"
"First Republic Investment Management Inc.", 68072, 2622, "12/31/2016"
"Forward Management LLC", 67971, 2616, "12/31/2016"
"Stanley Laman Group Ltd.", 67806, 2611, "12/31/2016"
"Advisors Management Group Inc. ADV", 67475, 2598, "12/31/2016"
"Trillium Asset Management LLC", 67042, 2581, "12/31/2016"
"First Allied Advisory Services Inc.", 65414, 2519, "12/31/2016"
"BLB&B Advisors LLC", 65067, 2506, "12/31/2016"
"Parallax Volatility Advisers L.P.", , 2503, "12/31/2016"
"Pegasus Partners Ltd.", 64648, 2490, "12/31/2016"
"Albion Financial Group UT", 64619, 2488, "12/31/2016"
"Private Advisor Group LLC", 63006, 2460, "12/31/2016"
"Parkwood LLC", 63850, 2459, "12/31/2016"
"Calvert Investment Management Inc.", 63102, 2430, "12/31/2016"
"MUFG Americas Holdings Corp", 62897, 2422, "12/31/2016"
"Ingalls & Snyder LLC", 62267, 2398, "12/31/2016"
"PVG Asset Management Corp", 55363, 2388, "09/30/2016"
"Cullen Capital Management LLC", 61800, 2380, "12/31/2016"
"Rikoon Group LLC", 58926, 2373, "12/31/2016"
"Seven Eight Capital LP", 60231, 2319, "12/31/2016"
"Compagnie Lombard Odier SCmA", 60083, 2314, "12/31/2016"
"Opus Point Partners Management LLC", 60000, 2311, "12/31/2016"
"Stockman Wealth Management Inc.", 59692, 2299, "12/31/2016"
"Fred Alger Management Inc.", 59048, 2274, "12/31/2016"
"MSI Financial Services Inc", 58994, 2272, "12/31/2016"
"Pinkerton Retirement Specialists LLC", 58504, 2253, "12/31/2016"
"Meyer Handelman Co.", 58277, 2244, "12/31/2016"
"Investment Centers of America Inc.", 57122, 2220, "12/31/2016"
"HL Financial Services LLC", 57293, 2206, "12/31/2016"
"Weiss Multi Strategy Advisers LLC", 57000, 2195, "12/31/2016"
"AJO LP", 55743, 2147, "12/31/2016"
"Nuveen Fund Advisors LLC", 54187, 2087, "12/31/2016"
"National Asset Management Inc.", 52764, 2032, "12/31/2016"
"HAP Trading LLC", , 2021, "12/31/2016"
"Stevens Capital Management LP", 51472, 1982, "12/31/2016"
"Gofen & Glossberg LLC IL", 50824, 1957, "12/31/2016"
"Mirae Asset Global Investments Co. Ltd.", 50635, 1950, "12/31/2016"
"Tradewinds Global Investors LLC", 45143, 1947, "09/30/2016"
"Greenwich Wealth Management LLC", 50400, 1941, "12/31/2016"
"P.A.W. Capital Corp", 50000, 1926, "12/31/2016"
"Atlantic Trust Group LLC", 49958, 1924, "12/31/2016"
"Bollard Group LLC", 49616, 1911, "12/31/2016"
"Perigon Wealth Management LLC", 44720, 1904, "12/31/2016"
"Quantbot Technologies LP", 48006, 1848, "12/31/2016"
"Hsbc Holdings PLC", 46568, 1795, "12/31/2016"
"RDL Financial Inc.", 46321, 1784, "12/31/2016"
"Sigma Planning Corp", 45751, 1762, "12/31/2016"
"Moors & Cabot Inc.", 45116, 1748, "12/31/2016"
"1832 Asset Management L.P.", 41384, 1741, "12/31/2016"
"Pinnacle Associates Ltd.", 45010, 1733, "12/31/2016"
"Bell Bank", 44635, 1719, "12/31/2016"
"Rothschild Investment Corp IL", 44176, 1701, "12/31/2016"
"Choate Investment Advisors", 43667, 1682, "12/31/2016"
"Kanaly Trust Co", 43596, 1679, "12/31/2016"
"Logan Capital Management Inc.", 43270, 1666, "12/31/2016"
"Bancorpsouth Inc.", 43233, 1665, "12/31/2016"
"KCG Holdings Inc.", 43079, 1659, "12/31/2016"
"Iowa State Bank", 42918, 1653, "12/31/2016"
"Kanawha Capital Management LLC", 42872, 1651, "12/31/2016"
"Hoertkorn Richard Charles", 42675, 1643, "12/31/2016"
"Brick & Kyle Associates", 42529, 1638, "12/31/2016"
"Commerce Bank", 41636, 1604, "12/31/2016"
"Lazard Asset Management LLC", 40874, 1574, "12/31/2016"
"IFP Advisors Inc", 39561, 1523, "12/31/2016"
"Capital Insight Partners LLC", 39451, 1519, "12/31/2016"
"Pacad Investment Ltd.", 39300, 1513, "12/31/2016"
"Walleye Trading LLC", , 1505, "12/31/2016"
"Vantage Investment Partners LLC", 39069, 1504, "12/31/2016"
"First City Capital Management Inc.", 39005, 1502, "12/31/2016"
"City Holding Co.", 38775, 1493, "12/31/2016"
"Gratus Capital LLC", 38719, 1491, "12/31/2016"
"Cascade Investment Advisors Inc.", 38490, 1482, "12/31/2016"
"Stevens First Principles Investment Advisors", 38448, 1481, "12/31/2016"
"Tiedemann Wealth Management LLC", 37951, 1462, "12/31/2016"
"Regions Financial Corp", 37951, 1461, "12/31/2016"
"P.R. Herzig & Co. Inc.", 37950, 1461, "12/31/2016"
"DAVENPORT & Co LLC", 37702, 1451, "12/31/2016"
"Turner Investments LLC", 37170, 1432, "12/31/2016"
"First Manhattan Co.", 37013, 1425, "12/31/2016"
"Lafayette Investments Inc.", 36815, 1418, "12/31/2016"
"Dodge & Cox", 36762, 1416, "12/31/2016"
"Voya Financial Advisors Inc.", 36836, 1416, "12/31/2016"
"Lee Financial CORP", 36729, 1414, "12/31/2016"
"Simmons Bank", 35666, 1373, "12/31/2016"
"Barclays PLC", , 1371, "12/31/2016"
"Hamilton Point Investment Advisors LLC", 35591, 1371, "12/31/2016"
"Cubist Systematic Strategies LLC", 35584, 1370, "12/31/2016"
"Synovus Financial Corp", 35500, 1366, "12/31/2016"
"PARK CIRCLE Co", 35200, 1355, "12/31/2016"
"First Bank & Trust", 34422, 1325, "12/31/2016"
"TD Asset Management Inc.", 33860, 1304, "12/31/2016"
"Wunderlich Capital Managemnt", 33863, 1304, "12/31/2016"
"TIAA CREF Trust Co. FSB MO", 33516, 1291, "12/31/2016"
"CENTRAL TRUST Co", 33300, 1283, "12/31/2016"
"American National Insurance Co. TX", 32950, 1269, "12/31/2016"
"Ashfield Capital Partners LLC", 32937, 1268, "12/31/2016"
"Cetera Advisor Networks LLC", 32244, 1256, "12/31/2016"
"Kernodle & Katon Asset Management Group LLC", 31728, 1222, "12/31/2016"
"Airain ltd", 31608, 1217, "12/31/2016"
"Loomis Sayles & Co. L P", 31414, 1210, "12/31/2016"
"A. D. Beadell Investment Counsel Inc.", 31315, 1205, "12/31/2016"
"Profund Advisors LLC", 31195, 1201, "12/31/2016"
"Wedbush Securities Inc.", 30783, 1185, "12/31/2016"
"Columbia Asset Management", 17428, 1182, "12/31/2016"
"NTV Asset Management LLC", 30687, 1181, "12/31/2016"
"ProVise Management Group LLC", 30048, 1157, "12/31/2016"
"American Assets Investment Management LLC", 30000, 1155, "12/31/2016"
"FCM Investments TX", 29567, 1139, "12/31/2016"
"R&F Capital Advisors LP", 29494, 1136, "12/31/2016"
"BlackRock Institutional Trust Company N.A.", 29373, 1131, "12/31/2016"
"Mckinley Capital Management LLC Delaware", 29289, 1128, "12/31/2016"
"KCM Investment Advisors LLC", 29094, 1120, "12/31/2016"
"Laurel Wealth Advisors Inc.", 28801, 1109, "12/31/2016"
"Balyasny Asset Management LLC", 28700, 1105, "12/31/2016"
"Livingston Group Asset Management CO operating as Southport Capital Management", 28673, 1104, "12/31/2016"
"Citadel Advisors LLC", , 1092, "12/31/2016"
"Premier Asset Managment LLC", 28170, 1084, "12/31/2016"
"Sii Investments Inc. WI", 27992, 1083, "12/31/2016"
"Glenview Trust Co", 28071, 1081, "12/31/2016"
"NorthCoast Asset Management LLC", 27927, 1075, "12/31/2016"
"Bessemer Group Inc.", 27785, 1071, "12/31/2016"
"NorthRoad Capital Management LLC", 24764, 1068, "09/30/2016"
"Connor Clark & Lunn Investment Management Ltd.", 27600, 1063, "12/31/2016"
"Wrapmanager Inc.", 27479, 1058, "12/31/2016"
"Princeton Portfolio Strategies Group LLC", 27183, 1047, "12/31/2016"
"Osborne Partners Capital Management LLC", 27028, 1041, "12/31/2016"
"Usca Ria LLC", 27040, 1041, "12/31/2016"
"Cetera Investment Advisers", 26784, 1039, "12/31/2016"
"Carlton Hofferkamp & Jenks Wealth Management LLC", 26916, 1036, "12/31/2016"
"Checchi Capital Advisers LLC", 26804, 1032, "12/31/2016"
"Trust Investment Advisors", 26490, 1020, "12/31/2016"
"Naples Global Advisors LLC", 26444, 1018, "12/31/2016"
"Gotham Asset Management LLC", 26315, 1013, "12/31/2016"
"Gamble Jones Investment Counsel", 26272, 1012, "12/31/2016"
"Coconut Grove Bank", 26133, 1006, "12/31/2016"
"NBT Bank N A NY", 26063, 1004, "12/31/2016"
"AMP Capital Investors Ltd", 25816, 992, "12/31/2016"
"Amica Mutual Insurance Co.", 25743, 991, "12/31/2016"
"Alta Capital Management LLC", 25615, 986, "12/31/2016"
"Hanson & Doremus Investment Management", 25611, 986, "12/31/2016"
"OLD National Bancorp IN", 25367, 977, "12/31/2016"
"Bluestein R H & Co.", 25164, 969, "12/31/2016"
"Burns J W & Co. Inc. NY", 25073, 966, "12/31/2016"
"Simplex Trading LLC", , 955, "12/31/2016"
"Godshalk Welsh Capital Management Inc.", 24750, 953, "12/31/2016"
"Aull & Monroe Investment Management Corp", 24630, 949, "12/31/2016"
"Ramsay Stattman Vela & Price Inc.", 24591, 947, "12/31/2016"
"Huntington National Bank", 24275, 934, "12/31/2016"
"Nicholas Hoffman & Company LLC.", 24028, 933, "12/31/2016"
"Peoples Financial Services CORP.", 21475, 931, "12/31/2016"
"Boston Private Wealth LLC", 24052, 926, "12/31/2016"
"Horizon Kinetics LLC", 23973, 923, "12/31/2016"
"Bonness Enterprises Inc.", 23800, 917, "12/31/2016"
"Tower Bridge Advisors", 23182, 893, "12/31/2016"
"Argent Trust Co", 23126, 890, "12/31/2016"
"RKL Wealth Management LLC", 22937, 883, "12/31/2016"
"Emerald Acquisition Ltd.", 20347, 878, "09/30/2016"
"Knott David M", 22600, 870, "12/31/2016"
"Pennsylvania Trust Co", 22537, 868, "12/31/2016"
"Level Four Advisory Services LLC", 22500, 866, "12/31/2016"
"Guardian Investment Management", 22400, 863, "12/31/2016"
"Moloney Securities Asset Management LLC", 22309, 859, "12/31/2016"
"Fiduciary Trust Co.", 22264, 857, "12/31/2016"
"Mork Capital Management LLC", 22200, 855, "12/31/2016"
"NEXT Financial Group Inc", 21915, 844, "12/31/2016"
"First National Bank of Omaha", 21746, 837, "12/31/2016"
"Ipswich Investment Management Co. Inc.", 21580, 831, "12/31/2016"
"Benjamin F. Edwards & Company Inc.", 21518, 829, "12/31/2016"
"Strategy Asset Managers LLC", 21190, 826, "12/31/2016"
"CAPROCK Group Inc.", 21349, 822, "12/31/2016"
"Epoch Investment Partners Inc.", 21233, 818, "12/31/2016"
"Todd Asset Management LLC", 21112, 813, "12/31/2016"
"BRYN MAWR TRUST Co", 21074, 811, "12/31/2016"
"Camelot Portfolios LLC", 20666, 796, "12/31/2016"
"Condor Capital Management", 20631, 794, "12/31/2016"
"Wade G W & Inc.", 20323, 783, "12/31/2016"
"Catawba Capital Management VA", 19145, 737, "12/31/2016"
"TCI Wealth Advisors Inc.", 19130, 737, "12/31/2016"
"CenterStar Fund LLC", , 736, "12/31/2016"
"Prospera Financial Services Inc", 18822, 735, "12/31/2016"
"Eqis Capital Management Inc.", 19051, 734, "12/31/2016"
"Buckingham Capital Management Inc.", 18827, 725, "12/31/2016"
"Farmers National Bank", 18384, 708, "12/31/2016"
"Wheatland Advisors Inc.", 18247, 703, "12/31/2016"
