"name", "shares", "value_of_shares_in_thousands_usd", "date_recorded"
"Salient Capital Advisors LLC", 17565, 676, "12/31/2016"
"Jane Street Group LLC", , 674, "12/31/2016"
"Bahl & Gaynor Inc.", 17481, 673, "12/31/2016"
"Founders Financial Securities LLC", 17443, 672, "12/31/2016"
"Golub Group LLC", 17430, 671, "12/31/2016"
"Chemical Bank", 17339, 668, "12/31/2016"
"Horizon Investments LLC", 17324, 667, "12/31/2016"
"Cullinan Associates Inc.", 17241, 664, "12/31/2016"
"Stonebridge Capital Advisors LLC", 16874, 650, "12/31/2016"
"Ancora Advisors LLC", 16661, 642, "12/31/2016"
"Gilman Hill Asset Management LLC", 16518, 636, "12/31/2016"
"South Dakota Investment Council", 16426, 633, "12/31/2016"
"Salient Trust Co. LTA", 16420, 632, "12/31/2016"
"Shelton Capital Management", 16331, 629, "12/31/2016"
"Ray Gerald L & Associates Ltd.", 16318, 628, "12/31/2016"
"Independent Portfolio Consultants Inc.", 16255, 626, "12/31/2016"
"Atria Investments LLC", 16233, 625, "12/31/2016"
"Tocqueville Asset Management L.P.", 15981, 615, "12/31/2016"
"Wetherby Asset Management Inc.", 15860, 611, "12/31/2016"
"Cypress Asset Management Inc. TX", 15740, 606, "12/31/2016"
"Leavell Investment Management Inc.", 15703, 605, "12/31/2016"
"Ellington Management Group LLC", 15600, 601, "12/31/2016"
"Meadow Creek Investment Management LLC", 15572, 600, "12/31/2016"
"Toronto Dominion Bank", 15489, 597, "12/31/2016"
"Amica Pension Fund Board of Trustees", 15459, 595, "12/31/2016"
"Financial Advisory Service Inc.", 15453, 595, "12/31/2016"
"Botty Investors LLC", 15420, 594, "12/31/2016"
"Intl Fcstone Inc.", 15342, 591, "12/31/2016"
"The Manufacturers Life Insurance Company", 15269, 588, "12/31/2016"
"Searle & CO.", 15218, 586, "12/31/2016"
"MAVEN SECURITIES Ltd", 15000, 584, "12/31/2016"
"Bowen Hanes & Co. Inc.", 15138, 583, "12/31/2016"
"Perkins Capital Management Inc.", 15100, 582, "12/31/2016"
"M Holdings Securities Inc.", 15042, 579, "12/31/2016"
"South State Corp", 14887, 574, "12/31/2016"
"Trust Co. of Vermont", 14653, 565, "12/31/2016"
"HighPoint Advisor Group LLC", 13453, 557, "12/31/2016"
"AE Wealth Management LLC", 14425, 556, "12/31/2016"
"Orleans Capital Management Corp LA", 14394, 554, "12/31/2016"
"Augustine Asset Management Inc.", 14230, 547, "12/31/2016"
"Roof Eidam & Maycock ADV", 14120, 544, "12/31/2016"
"IFC Holdings Incorporated FL", 13927, 539, "12/31/2016"
"Edge Asset Management Inc.", 13958, 538, "12/31/2016"
"Valley National Advisers Inc.", 13932, 537, "12/31/2016"
"Boys Arnold & Co. Inc.", 13820, 532, "12/31/2016"
"BigSur Wealth Management LLC", 13604, 531, "12/31/2016"
"Community Bank & Trust Waco Texas", 13450, 518, "12/31/2016"
"Berkeley Capital Partners LLC", 13416, 517, "12/31/2016"
"Capital Asset Advisory Services LLC", 13337, 514, "12/31/2016"
"Two Sigma Securities LLC", 13280, 511, "12/31/2016"
"HBK Sorce Advisory LLC", 13105, 505, "12/31/2016"
"Sheaff Brock Investment Advisors LLC", 13113, 505, "12/31/2016"
"Sandy Spring Bank", 13042, 502, "12/31/2016"
"Capital One National Association", 13005, 501, "12/31/2016"
"Gabelli Funds LLC", 13000, 501, "12/31/2016"
"Reynders McVeigh Capital Management LLC", 13009, 501, "12/31/2016"
"BlueCrest Capital Management Ltd", 13000, 501, "12/31/2016"
"Greytown Advisors Inc.", 12861, 496, "12/31/2016"
"Boston Common Asset Management LLC", 12865, 495, "12/31/2016"
"Elkfork Partners LLC", 12824, 494, "12/31/2016"
"GAM Holding AG", 12587, 485, "12/31/2016"
"Glacier Peak Capital LLC", 12500, 481, "12/31/2016"
"Liberty Mutual Group Asset Management Inc.", 12439, 479, "12/31/2016"
"Wesbanco Bank Inc.", 12415, 478, "12/31/2016"
"First National Trust Co.", 12350, 476, "12/31/2016"
"United Bank", 12296, 474, "12/31/2016"
"High Point Bank & Trust Co.", 12282, 473, "12/31/2016"
"Arbor Wealth Management LLC", 11746, 473, "12/31/2016"
"Capital Investment Advisors LLC", 12054, 464, "12/31/2016"
"Stratos Wealth Partners LTD.", 11887, 458, "12/31/2016"
"New England Asset Management Inc.", 11849, 456, "12/31/2016"
"Private Bank & Trust Co.", 11817, 456, "12/31/2016"
"Financial Architects Inc", 11843, 456, "12/31/2016"
"Rathbone Brothers plc", 11826, 455, "12/31/2016"
"Sawtooth Solutions LLC", 11662, 449, "12/31/2016"
"National Planning Corp", 11336, 446, "12/31/2016"
"Boston Financial Mangement LLC", 11555, 445, "12/31/2016"
"King Wealth Management Group LLC", 11436, 440, "12/31/2016"
"Riverhead Capital Management LLC", 11400, 439, "12/31/2016"
"Strategic Global Advisors LLC", 11353, 437, "12/31/2016"
"Commerzbank Aktiengesellschaft FI", 11330, 436, "12/31/2016"
"Independence Advisors LLC", 11313, 436, "12/31/2016"
"Genovese Burford & Brothers Wealth & Retirement Plan Management LLC", 11283, 435, "12/31/2016"
"Delta Asset Management LLC TN", 11105, 427, "12/31/2016"
"Peapack Gladstone Financial Corp", 11090, 427, "12/31/2016"
"Exane Derivatives", , 426, "12/31/2016"
"Oxbow Advisors LLC", 10869, 418, "12/31/2016"
"Buckhead Capital Management LLC", 10830, 417, "12/31/2016"
"WealthTrust Axiom LLC", 10738, 413, "12/31/2016"
"Mastrapasqua Asset Management Inc.", 10645, 410, "12/31/2016"
"Security National Trust Co.", 10670, 410, "12/31/2016"
"Mark Sheptoff Financial Planning LLC", 10650, 410, "12/31/2016"
"Mitchell Sinkler & Starr PA", 10623, 409, "12/31/2016"
"Arete Wealth Advisors LLC", 10610, 409, "12/31/2016"
"North Star Investment Management Corp.", 10605, 408, "12/31/2016"
"Wellesley Investment Partners LLC", 10513, 404, "12/31/2016"
"Williams Jones & Associates LLC", 10475, 403, "12/31/2016"
"Dynamic Technology Lab Private Ltd", 10428, 402, "12/31/2016"
"New England Research & Management Inc.", 10350, 399, "12/31/2016"
"Ballentine Partners LLC", 10332, 398, "12/31/2016"
"Ferguson Wellman Capital Management Inc.", 10197, 393, "12/31/2016"
"Oxford Asset Management", 10128, 390, "12/31/2016"
"IPG Investment Advisors LLC", 10120, 390, "12/31/2016"
"Glen Harbor Capital Management LLC", 10076, 388, "12/31/2016"
"Paloma Partners Management Co", 9900, 381, "12/31/2016"
"Bragg Financial Advisors Inc", 9788, 377, "12/31/2016"
"Wellington Shields Capital Management LLC", 9800, 377, "12/31/2016"
"Wellington Shields & Co. LLC", 9700, 374, "12/31/2016"
"Concert Wealth Management Inc.", 9490, 372, "12/31/2016"
"Cetera Advisors LLC", 9613, 372, "12/31/2016"
"Roundview Capital LLC", 9529, 367, "12/31/2016"
"Blue Fin Capital Inc.", 9505, 366, "12/31/2016"
"Koshinski Asset Management Inc.", 9484, 365, "12/31/2016"
"SOL Capital Management CO", 9372, 361, "12/31/2016"
"Mosaic Family Wealth LLC", 9386, 361, "12/31/2016"
"Bremer Trust National Association", 9308, 359, "12/31/2016"
"Chou Associates Management Inc.", 18000, 347, "12/31/2016"
"Princeton Alpha Management LP", 9018, 347, "12/31/2016"
"Sterling Capital Management LLC", 8948, 345, "12/31/2016"
"Texas Yale Capital Corp.", 8950, 345, "12/31/2016"
"Smith Moore & CO.", 8930, 344, "12/31/2016"
"Private Wealth Partners LLC", 8917, 343, "12/31/2016"
"Cadence Bank NA", 8781, 339, "12/31/2016"
"Fayez Sarofim & Co.", 8762, 337, "12/31/2016"
"RFG Advisory Group LLC", 7712, 335, "12/31/2016"
"TrueNorth Inc.", 7770, 335, "09/30/2016"
"Essex Financial Services Inc.", 8670, 334, "12/31/2016"
"Bienville Capital Management LLC", 8568, 334, "12/31/2016"
"Burney Co.", 8639, 333, "12/31/2016"
"Rehmann Capital Advisory Group", 8535, 329, "12/31/2016"
"Eagle Asset Management Inc.", 8525, 328, "12/31/2016"
"Juncture Wealth Strategies LLC", 8500, 327, "12/31/2016"
"Trustmark National Bank Trust Department", 8442, 325, "12/31/2016"
"Private Trust Co. NA", 8444, 325, "12/31/2016"
"Opus Capital Group LLC", 8390, 323, "12/31/2016"
"Mathes Company Inc.", 8400, 323, "12/31/2016"
"Court Place Advisors LLC", 8397, 323, "12/31/2016"
"Stock Yards Bank & Trust Co.", 8322, 321, "12/31/2016"
"Carroll Financial Associates Inc.", 8337, 321, "12/31/2016"
"Poplar Forest Capital LLC", 8306, 320, "12/31/2016"
"AT Bancorp", 8277, 320, "12/31/2016"
"Lakeview Capital Partners LLC", 8309, 320, "12/31/2016"
"Courier Capital LLC", 8276, 319, "12/31/2016"
"GSB Wealth Management LLC", 8270, 318, "12/31/2016"
"Clifford Swan Investment Counsel LLC", 8205, 316, "12/31/2016"
"Guyasuta Investment Advisors Inc.", 8192, 315, "12/31/2016"
"Grandfield & Dodd LLC", 8116, 313, "12/31/2016"
"Wolverine Trading LLC", , 311, "12/31/2016"
"Investment Partners Ltd. OH  ADV", 8034, 309, "12/31/2016"
"Farmers & Merchants Trust Co of Chambersburg PA", 8035, 309, "12/31/2016"
"Private Capital Management Inc.", 8000, 308, "12/31/2016"
"Boston Family Office LLC", 7949, 306, "12/31/2016"
"Lowe Brockenbrough & Co. Inc.", 7883, 304, "12/31/2016"
"Johnson Investment Counsel Inc.", 7669, 295, "12/31/2016"
"VNBTrust National Association", 7518, 289, "12/31/2016"
"Wilbanks Smith & Thomas Asset Management LLC", 7474, 288, "12/31/2016"
"Balasa Dinverno & Foltz LLC", 7472, 288, "12/31/2016"
"Winslow Evans & Crocker Inc.", 7404, 285, "12/31/2016"
"Bank of The West", 7373, 284, "12/31/2016"
"Brown Brothers Harriman & Co.", 7334, 282, "12/31/2016"
"Cypress Wealth Advisors LLC", 7318, 282, "12/31/2016"
"Neuburgh Advisers LLC", 7328, 282, "12/31/2016"
"Palladium Partners LLC", 7264, 280, "12/31/2016"
"First PREMIER Bank", 7067, 273, "12/31/2016"
"Douglass Winthrop Advisors LLC", 7040, 271, "12/31/2016"
"SignalPoint Asset Management LLC", 6957, 268, "12/31/2016"
"King Luther Capital Management Corp", 6924, 267, "12/31/2016"
"Town & Country Bank & Trust CO dba First Bankers Trust CO", 6929, 267, "12/31/2016"
"Veritable L.P.", 6911, 266, "12/31/2016"
"Eads & Heald Investment Counsel", 6849, 264, "12/31/2016"
"Curbstone Financial Management Corp", 6855, 264, "12/31/2016"
"CT Mason", 6817, 263, "12/31/2016"
"Mission Wealth Management LLC", 6826, 263, "12/31/2016"
"Roffman Miller Associates Inc. PA", 6787, 261, "12/31/2016"
"Salem Investment Counselors Inc.", 6717, 259, "12/31/2016"
"Hartford Investment Management Co.", 6633, 255, "12/31/2016"
"Frontier Investment Mgmt Co.", 6600, 254, "12/31/2016"
"Compton Capital Management Inc. RI", 6560, 253, "12/31/2016"
"Torray LLC", 6500, 250, "12/31/2016"
"Shufro Rose & Co. LLC", 6500, 250, "12/31/2016"
"FCA Corp TX", 6500, 250, "12/31/2016"
"Point View Wealth Management Inc.", 6391, 246, "12/31/2016"
"AllSquare Wealth Management LLC", 6400, 246, "12/31/2016"
"Marietta Wealth Management LLC", 6347, 244, "12/31/2016"
"Howland Capital Management LLC", 6308, 243, "12/31/2016"
"Dynamic Advisors Solutions LLC", 6305, 243, "12/31/2016"
"Feltz Wealth PLAN Inc.", 5587, 243, "09/30/2016"
"Live Your Vision LLC", 6279, 242, "12/31/2016"
"Bluefin Trading LLC", 6271, 241, "12/31/2016"
"Mirador Capital Partners LP", 6250, 241, "12/31/2016"
"Independent Advisor Alliance", 6223, 241, "12/31/2016"
"Miles Capital Inc.", 6221, 240, "12/31/2016"
"Atlanta Capital Group", 6221, 240, "12/31/2016"
"Seaward Management Limited Partnership", 6219, 239, "12/31/2016"
"Park Avenue Securities LLC", 6163, 239, "12/31/2016"
"Bbva Compass Bancshares Inc.", 6211, 239, "12/31/2016"
"Glenview State Bank Trust DEPT.", 6200, 239, "12/31/2016"
"Trexquant Investment LP", 6200, 239, "12/31/2016"
"Park National Corp OH", 6196, 238, "12/31/2016"
"HM Payson & Co.", 6090, 235, "12/31/2016"
"Apriem Advisors", 6012, 232, "12/31/2016"
"Beck Mack & Oliver LLC", 5998, 231, "12/31/2016"
"1ST Source Bank", 5884, 227, "12/31/2016"
"Garrison Financial Corp", 5881, 226, "12/31/2016"
"Rand Wealth LLC", 5820, 224, "12/31/2016"
"Reliance Trust Co. of Delaware", 5794, 224, "12/31/2016"
"Cullen Frost Bankers Inc.", 5801, 223, "12/31/2016"
"Canandaigua National Bank & Trust Co.", 5810, 223, "12/31/2016"
"Cadinha & Co. LLC", 5625, 217, "12/31/2016"
"Donaldson Capital Management LLC", 5630, 217, "12/31/2016"
"Sequoia Financial Advisors LLC", 5641, 217, "12/31/2016"
"Baystate Wealth Management LLC", 5506, 215, "12/31/2016"
"CWA Asset Management Group LLC", 5570, 215, "12/31/2016"
"Chatham Capital Group Inc.", 5550, 214, "12/31/2016"
"Frontier Wealth Management LLC", 5560, 214, "12/31/2016"
"First Midwest Bank Trust Division", 5545, 213, "12/31/2016"
"Parsons Capital Management Inc. RI", 5542, 213, "12/31/2016"
"CLS Investments LLC", 5543, 213, "12/31/2016"
"Sonata Capital Group Inc.", 5505, 212, "12/31/2016"
"Commonwealth Financial Services LLC", 5486, 212, "12/31/2016"
"Cordasco Financial Network", 5493, 212, "12/31/2016"
"Tdam USA Inc.", 5486, 211, "12/31/2016"
"FTB Advisors Inc.", 5056, 211, "12/31/2016"
"Birmingham Capital Management Co. Inc. AL", 5450, 210, "12/31/2016"
"Pekin Singer Strauss Asset Management IL", 5456, 210, "12/31/2016"
"San Francisco Sentry Investment Group CA", 5435, 210, "12/31/2016"
"Elgethun Capital Management", 5444, 210, "12/31/2016"
"Oakworth Capital Inc.", 5509, 208, "12/31/2016"
"CT Financial Advisors LLC", 5411, 208, "12/31/2016"
"Intrust Bank NA", 5344, 206, "12/31/2016"
"Hamel Associates Inc.", 5350, 205, "12/31/2016"
"Trustco Bank Corp N Y", 5300, 204, "12/31/2016"
"Murphy Capital Management Inc.", 5300, 204, "12/31/2016"
"GFS Advisors LLC", 5296, 204, "12/31/2016"
"Geneva Advisors LLC", 5273, 203, "12/31/2016"
"Chevy Chase Trust Holdings Inc.", 5232, 201, "12/31/2016"
"Intersect Capital LLC", 5230, 201, "12/31/2016"
"Mascoma Wealth Management LLC", 5058, 195, "12/31/2016"
"WFG Advisors LP", 5013, 193, "12/31/2016"
"Bartlett & Co. LLC", 5008, 193, "12/31/2016"
"Whittier Trust Co. of Nevada Inc.", 4976, 192, "12/31/2016"
"Balentine LLC", 4873, 188, "12/31/2016"
"IHT Wealth Management LLC", 4850, 188, "12/31/2016"
"Capital Guardian Trust Co.", 4761, 183, "12/31/2016"
"Forester Capital Management LTD", 4630, 178, "12/31/2016"
"Smith Asset Management Group LP", 4546, 175, "12/31/2016"
"Ropes Wealth Advisors LLC", 4400, 169, "12/31/2016"
"JFS Wealth Advisors LLC", 4325, 167, "12/31/2016"
"Advisory Services Network LLC", 3768, 163, "09/30/2016"
"Integrated Wealth Counsel LLC", 4204, 162, "12/31/2016"
"Estabrook Capital Management", 4108, 158, "12/31/2016"
"Schroder Investment Management Group", 3600, 139, "12/31/2016"
"St. Johns Investment Management Company LLC", 3599, 139, "12/31/2016"
"Norway Savings Bank", 3620, 139, "12/31/2016"
"Menora Mivtachim Holdings LTD.", 3580, 138, "12/31/2016"
"Loring Wolcott & Coolidge Fiduciary Advisors LLP MA", 3554, 137, "12/31/2016"
"SevenBridge Financial Group LLC", 3110, 132, "12/31/2016"
"Baker Ellis Asset Management LLC", 3367, 130, "12/31/2016"
"Physicians Financial Services Inc.", 2841, 128, "12/31/2016"
"Kistler Tiffany Companies LLC", 3119, 120, "12/31/2016"
"M&R Capital Management Inc.", 3106, 119, "12/31/2016"
"Whittier Trust Co.", 3019, 116, "12/31/2016"
"First Personal Financial Services", 3000, 116, "12/31/2016"
"Duncker Streett & Co. Inc.", 2883, 111, "12/31/2016"
"Integrated Investment Consultants LLC", 2770, 107, "12/31/2016"
"Westwood Holdings Group Inc.", 2550, 98, "12/31/2016"
"Cribstone Capital Management LLC", 2542, 98, "12/31/2016"
"Smithfield Trust Co.", 2430, 94, "12/31/2016"
"Amica Retiree Medical Trust", 2399, 92, "12/31/2016"
"Roble Belko & Company Inc", 2304, 89, "12/31/2016"
"Sowell Financial Services LLC", 2126, 86, "12/31/2016"
"Sunbelt Securities Inc.", 2094, 81, "12/31/2016"
"Benson Investment Management Company Inc.", 2061, 79, "12/31/2016"
"Edge Wealth Management LLC", 2021, 78, "12/31/2016"
"Camarda Financial Advisors LLC", 2000, 77, "12/31/2016"
"Cowen Prime Services LLC", 2000, 77, "12/31/2016"
"Gierl Augustine Investment Management Inc", 1962, 76, "12/31/2016"
"Patriot Financial Group Insurance Agency LLC", 1888, 73, "12/31/2016"
"CWM LLC", 1845, 71, "12/31/2016"
"Farmers & Merchants Investments Inc.", 1828, 70, "12/31/2016"
"Howe & Rusling Inc.", 1755, 68, "12/31/2016"
"Hall Laurie J Trustee", 1726, 68, "12/31/2016"
"SRS Capital Advisors Inc.", 1764, 68, "12/31/2016"
"Bronfman E.L. Rothschild L.P.", 1657, 64, "12/31/2016"
"Quadrant Capital Group LLC", 1839, 63, "12/31/2016"
"Thrivent Financial for Lutherans", 1576, 62, "12/31/2016"
"LS Investment Advisors LLC", 1600, 62, "12/31/2016"
"Thompson Davis & CO. Inc.", 1520, 59, "12/31/2016"
"First Interstate Bank", 1541, 59, "12/31/2016"
"Monroe Bank & Trust MI", 1500, 58, "12/31/2016"
"Joel Isaacson & Co. LLC", 1511, 58, "12/31/2016"
"Johnson Financial Group Inc.", 1477, 57, "12/31/2016"
"Hudock Capital Group LLC", 1470, 56, "12/31/2016"
"Citizens Financial Group Inc RI", 1420, 55, "12/31/2016"
"Washington Trust Bank", 1359, 52, "12/31/2016"
"Risk Paradigm Group LLC", 1300, 50, "12/31/2016"
"Advantage Investment Management LLC", 1250, 48, "12/31/2016"
"Motco", 1177, 45, "12/31/2016"
"Parallel Advisors LLC", 1181, 45, "12/31/2016"
"Ledyard National Bank", 1123, 44, "12/31/2016"
"Winch Advisory Services LLC", 1111, 43, "12/31/2016"
"Enterprise Financial Services Corp", 1103, 42, "12/31/2016"
"BlackRock Inc.", 1100, 42, "12/31/2016"
"Zions Bancorporation", 1090, 42, "12/31/2016"
"Webster Bank N. A.", 1075, 41, "12/31/2016"
"Shamrock Asset Management LLC", 937, 40, "12/31/2016"
"Monetary Management Group Inc.", 1000, 39, "12/31/2016"
"Gradient Investments LLC", 1000, 39, "12/31/2016"
"Acrospire Investment Management LLC", 1000, 39, "12/31/2016"
"Thompson Siegel & Walmsley LLC", 963, 37, "12/31/2016"
"Hexavest Inc.", 961, 37, "12/31/2016"
"Endurance Wealth Management Inc.", 893, 34, "12/31/2016"
"OLD Second National Bank of Aurora", 875, 33, "12/31/2016"
"Proficio Capital Partners LLC", 854, 33, "12/31/2016"
"Ameritas Investment Partners Inc.", 856, 32, "12/31/2016"
"Patten Group Inc.", 830, 32, "12/31/2016"
"First Command Bank", 827, 32, "12/31/2016"
"First Command Financial Services Inc.", 827, 32, "12/31/2016"
"UBS Asset Management Americas Inc.", 812, 31, "12/31/2016"
"Hartford Financial Management Inc.", 800, 31, "12/31/2016"
"Sunnymeath Asset Management Inc.", 800, 31, "12/31/2016"
"Plante Moran Financial Advisors LLC", 790, 30, "12/31/2016"
"Winfield Associates Inc.", 770, 30, "12/31/2016"
"Focused Wealth Management Inc", 790, 30, "12/31/2016"
"Vantage Investment Advisors LLC", 790, 30, "12/31/2016"
"Asset Planning Services Ltd.", 717, 28, "12/31/2016"
"Massmutual Trust Co. FSB ADV", 701, 27, "12/31/2016"
"Acadian Asset Management LLC", 666, 26, "12/31/2016"
"Cutler Group LP", , 26, "12/31/2016"
"Tortoise Investment Management LLC", 683, 26, "12/31/2016"
"Cranbrook Wealth Management LLC", 636, 24, "12/31/2016"
"Archford Capital Strategies LLC", 632, 24, "12/31/2016"
"American Research & Management Co.", 600, 23, "12/31/2016"
"Teachers Advisors LLC", 583, 22, "12/31/2016"
"Intellectus Partners LLC", 564, 22, "12/31/2016"
"Highlander Capital Management LLC", 532, 20, "12/31/2016"
"Krilogy Financial LLC", 509, 20, "12/31/2016"
"Alpha Omega Wealth Management LLC", 519, 20, "12/31/2016"
"Bellwether Investment Group LLC", 516, 20, "12/31/2016"
"Adirondack Trust Co.", 500, 19, "12/31/2016"
"Reilly Financial Advisors LLC", 495, 19, "12/31/2016"
"Armbruster Capital Management Inc.", 457, 18, "12/31/2016"
"Trust Co", 450, 17, "12/31/2016"
"Arcadia Investment Management Corp MI", 406, 16, "12/31/2016"
"Mercer Capital Advisers Inc.", 400, 15, "12/31/2016"
"Davidson Investment Advisors", 380, 14, "12/31/2016"
"Tompkins Financial Corp", 300, 12, "12/31/2016"
"Whitnell & Co.", 310, 12, "12/31/2016"
"Peddock Capital Advisors LLC", 300, 12, "12/31/2016"
"RPg Family Wealth Advisory LLC", 291, 11, "12/31/2016"
"Blume Capital Management Inc.", 283, 11, "12/31/2016"
"Montecito Bank & Trust", 231, 9, "12/31/2016"
"MV Capital Management Inc.", 230, 9, "12/31/2016"
"Salzhauer Michael", , 8, "12/31/2016"
"First New York Securities LLC NY", 200, 8, "12/31/2016"
"Liberty Capital Management Inc.", 195, 8, "12/31/2016"
"Hanson McClain Inc.", 206, 8, "12/31/2016"
"Cypress Capital Management LLC WY", 200, 8, "12/31/2016"
"D Orazio & Associates Inc.", 200, 8, "12/31/2016"
"Community Bank N.A.", 185, 7, "12/31/2016"
"Northwest Quadrant Wealth Management LLC", 187, 7, "12/31/2016"
"Alexandria Capital LLC", 160, 6, "12/31/2016"
"Pacific Center for Financial Services", 151, 6, "12/31/2016"
"JNBA Financial Advisors", 122, 5, "12/31/2016"
"Nelson Van Denburg & Campbell Wealth Management Group LLC", 135, 5, "12/31/2016"
"Pittenger & Anderson Inc.", 100, 4, "12/31/2016"
"Country Trust Bank", 100, 4, "12/31/2016"
"West Oak Capital LLC", 110, 4, "12/31/2016"
"Cornerstone Advisors Inc.", 96, 4, "12/31/2016"
"Cable Hill Partners LLC", 100, 4, "12/31/2016"
"First Financial Corp IN", 66, 3, "12/31/2016"
"Dubuque Bank & Trust Co.", 75, 3, "12/31/2016"
"Baldwin Brothers Inc. MA", 75, 3, "12/31/2016"
"Barnett & Company Inc.", 75, 3, "12/31/2016"
"Lowe fs LLC", 60, 2, "12/31/2016"
"Westport Resources Management Inc.", 47, 2, "09/30/2016"
"Tower Research Capital LLC TRC", 34, 1, "12/31/2016"
"First Eagle Investment Management LLC", 1, 0, "12/31/2016"
"Wealthcare Capital Management LLC", 12, 0, "12/31/2016"
"NewSquare Capital LLC", 0, 0, "12/31/2016"
"Integral Derivatives LLC", , -123, "12/31/2016"
"PEAK6 Investments L.P.", , -439, "12/31/2016"
"Spot Trading L.L.C", 13600, -2283, "12/31/2016"
